peptideId	arabi-defline
NO02G02970	DNAJ heat shock family protein
NO02G02980	P-loop containing nucleoside triphosphate hydrolases superfamily protein
NO02G02990	Regulator of chromosome condensation (RCC1) family with FYVE zinc finger domain
NO02G03000	cyclin-dependent kinase C;1
NO02G03010	Phosphoinositide phosphatase family protein
NO02G03020	cyclin-dependent kinase C;1
NO02G03040	P-loop containing nucleoside triphosphate hydrolases superfamily protein
NO02G03060	ORMDL family protein
NO02G03080	UDP-sugar pyrophosphorylase
NO02G03090	heat shock protein 91
NO02G03100	nicotinate phosphoribosyltransferase 1
NO02G03110	Aldolase-type TIM barrel family protein
NO02G03120	FtsH extracellular protease family
NO02G03130	Nucleotide-diphospho-sugar transferases superfamily protein
NO02G03150	autoinhibited Ca2+ -ATPase, isoform 8
NO02G03170	Nucleotide/sugar transporter family protein
NO02G03180	arogenate dehydrogenase
NO02G03190	methylthioadenosine nucleosidase 1
NO02G03210	elongation factor P (EF-P) family protein
NO02G03220	cytochrome P450, family 97, subfamily B, polypeptide 3
NO02G03230	stomatal cytokinesis defective / SCD1 protein (SCD1)
NO02G03240	Insulinase (Peptidase family M16) protein
NO02G03250	Ribosomal protein S5/Elongation factor G/III/V family protein
NO02G03270	Sugar isomerase (SIS) family protein
NO02G03280	malate synthase
NO02G03290	Thioredoxin superfamily protein
NO02G03300	histidine biosynthesis bifunctional protein (HISIE)
NO02G03330	Inosine triphosphate pyrophosphatase family protein
NO02G03390	PQ-loop repeat family protein / transmembrane family protein
NO02G03400	nuclear RNA polymerase C2
NO02G03410	SNARE-like superfamily protein
NO02G03430	abscisic acid (aba)-deficient 4
NO02G03440	radical SAM domain-containing protein / GCN5-related N-acetyltransferase (GNAT) family protein
NO02G03450	calcineurin B subunit-related
NO02G03460	Sas10/Utp3/C1D family
NO02G03470	Aldolase-type TIM barrel family protein
NO02G03480	Mechanosensitive ion channel protein
NO02G03500	prefoldin 2
NO02G03510	RING/U-box superfamily protein
NO02G03530	Ribosomal protein L13 family protein
NO02G03580	2 iron, 2 sulfur cluster binding
NO02G03600	glutamate-ammonia ligases;catalytics;glutamate-ammonia ligases
NO02G03610	esterase/lipase/thioesterase family protein
NO02G03650	NAD(P)-linked oxidoreductase superfamily protein
NO02G03670	Pentatricopeptide repeat (PPR) superfamily protein
NO02G03680	NADH-ubiquinone oxidoreductase 20 kDa subunit, mitochondrial
NO02G03700	ribophorin II (RPN2) family protein
NO02G03710	Protein kinase superfamily protein
NO02G03720	vacuolar ATP synthase subunit A
NO02G03730	poly(A) binding protein 8
NO02G03740	plastid transcriptionally active 2
NO02G03770	TLD-domain containing nucleolar protein
NO02G03800	D111/G-patch domain-containing protein
NO02G03840	Peroxisomal membrane 22 kDa (Mpv17/PMP22) family protein
NO02G03860	HSP20-like chaperones superfamily protein
NO02G03870	multidrug resistance-associated protein 13
NO02G03880	Pentatricopeptide repeat (PPR) superfamily protein
NO02G03910	RNA binding;GTP binding
NO02G03920	hydroxymethylbilane synthase
NO02G03980	FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: SGT1 (InterPro:IPR010770); Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0; Bacteria - 0; Metazoa - 736; Fungi - 347; Plants - 385; Viruses - 0; Other Eukaryotes - 339 (source: NCBI BLink).
NO02G04000	Ubiquitin-conjugating enzyme family protein
NO02G04010	RING/U-box superfamily protein
NO02G04050	casein kinase I-like 12
NO02G04060	NADH-ubiquinone oxidoreductase 24 kDa subunit, putative
NO02G04080	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
NO02G04090	purine biosynthesis 4
NO02G04110	aconitase 2
NO02G04120	dehydroascorbate reductase 2
NO02G04130	Cyclin family protein
NO02G04140	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
NO02G04150	Mannose-6-phosphate isomerase, type I
NO02G04160	transducin family protein / WD-40 repeat family protein
NO02G04170	regulatory particle triple-A ATPase 5A
NO02G04190	chromatin remodeling factor CHD3 (PICKLE)
NO02G04250	P-loop containing nucleoside triphosphate hydrolases superfamily protein
NO02G04300	Pseudouridine synthase family protein
NO02G04310	NAD(P)-binding Rossmann-fold superfamily protein
NO02G04320	DGCR14-related
NO02G04340	Zinc-binding ribosomal protein family protein
NO02G04350	RAP
NO02G04360	RING/FYVE/PHD zinc finger superfamily protein
NO02G04370	RECQ helicase L2
NO02G04390	cystathionine beta-lyase
NO02G04400	ubiquitin-activating enzyme 1
NO02G04420	binding
NO02G04430	P-loop containing nucleoside triphosphate hydrolases superfamily protein
NO02G04460	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
NO02G04480	protein kinase family protein
NO02G04490	mraW methylase family protein
NO02G04500	Sec14p-like phosphatidylinositol transfer family protein
NO02G04510	TRAM, LAG1 and CLN8 (TLC) lipid-sensing domain containing protein
NO02G04530	eukaryotic translation initiation factor 3K
NO02G04560	Ribosomal protein S19e family protein
NO02G04570	A20/AN1-like zinc finger family protein
NO02G04590	cytidinediphosphate diacylglycerol synthase 4
NO02G04610	GNS1/SUR4 membrane protein family
NO02G04640	Sec14p-like phosphatidylinositol transfer family protein
NO02G04650	Phosphatidylinositol N-acetylglucosaminyltransferase, GPI19/PIG-P subunit
NO02G04660	Protein kinase superfamily protein
NO02G04670	RING/U-box superfamily protein
NO02G04680	ARM repeat superfamily protein
NO02G04690	FtsJ-like methyltransferase family protein
NO02G04700	Protein kinase superfamily protein
NO02G04750	peroxin 19-1
NO02G04760	BED zinc finger ;hAT family dimerisation domain
NO02G04780	circadian clock associated 1
NO02G04790	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein
NO02G04800	GDA1/CD39 nucleoside phosphatase family protein
NO02G04810	phospholipases;galactolipases
NO02G04820	zinc ion binding
NO02G04830	NAP1-related protein 2
NO02G04860	transferases, transferring acyl groups other than amino-acyl groups;acyltransferases
NO02G04910	Saccharopine dehydrogenase 
NO02G04970	ALA-interacting subunit 1
NO02G05020	Serine/threonine protein phosphatase family protein
NO02G05030	ILITYHIA
NO02G05040	ILITYHIA
NO02G05050	Guanylate-binding family protein
NO02G05070	ankyrin repeat family protein
NO02G05100	unknown protein; Has 122 Blast hits to 122 proteins in 57 species: Archae - 0; Bacteria - 0; Metazoa - 46; Fungi - 30; Plants - 41; Viruses - 0; Other Eukaryotes - 5 (source: NCBI BLink).
NO02G05110	nucleotide-sensitive chloride conductance regulator (ICln) family protein
NO02G05130	Phosphoinositide phosphatase family protein
NO02G05140	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
NO02G05150	S-methyl-5-thioribose kinase
NO02G05170	phosphoadenosine phosphosulfate (PAPS) reductase family protein
NO02G05180	Protein kinase superfamily protein
NO02G05190	Metallo-hydrolase/oxidoreductase superfamily protein
NO02G05270	toprim domain-containing protein
NO02G05280	peptide-N-glycanase 1
NO02G05290	Minichromosome maintenance (MCM2/3/5) family protein
NO02G05300	acetoacetyl-CoA thiolase 2
NO02G05310	alpha-soluble NSF attachment protein 2
NO02G05330	tetratricopeptide repeat (TPR)-containing protein
NO02G05340	plant U-box 24
NO02G05350	Tryptophan/tyrosine permease
NO02G05370	Oxidoreductase family protein
NO02G05390	Cyclin family protein
NO02G05400	Protein kinase superfamily protein
NO02G05410	oxidoreductases
NO02G05490	Ribosomal L28 family
NO02G05540	magnesium transporter 9
NO02G05580	Uroporphyrinogen decarboxylase
NO02G05590	ALG6, ALG8 glycosyltransferase family
NO02G05610	phosphomannomutase
NO02G05620	isovaleryl-CoA-dehydrogenase
NO02G05630	C2H2 and C2HC zinc fingers superfamily protein
NO02G05670	alternative  NAD(P)H dehydrogenase 1
NO02G05690	protochlorophyllide oxidoreductase C
NO02G05700	non-intrinsic ABC protein 6
NO02G05710	UDP-galactose transporter 2
NO02G05720	Dihydrolipoamide acetyltransferase, long form protein
NO02G05740	DNAJ heat shock family protein
NO02G05770	FZO-like
NO02G05780	fatty acid desaturase family protein
NO02G05910	vesicle-associated membrane protein 711
NO02G05920	phosphate transporter 3;1
NO02G05940	Late embryogenesis abundant protein (LEA) family protein
NO02G05970	splicing factor-related
NO02G05990	light harvesting complex photosystem II subunit 6
NO02G06000	Acyl-CoA N-acyltransferases (NAT) superfamily protein
NO02G06050	myb domain protein 3r-5
NO02G06070	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
NO02G06090	urease
NO02G06110	urease
NO02G06130	SPla/RYanodine receptor (SPRY) domain-containing protein
NO02G06190	glutamate decarboxylase
NO03G00020	ARM repeat superfamily protein
NO03G00050	Phosphoglycerate mutase family protein
NO03G00060	ubiquitin carrier protein 1
NO03G00100	diphthamide synthesis DPH2 family protein
NO03G00140	Haloacid dehalogenase-like hydrolase (HAD) superfamily protein
NO03G00150	unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast, chloroplast stroma; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; Has 312 Blast hits to 312 proteins in 90 species: Archae - 0; Bacteria - 131; Metazoa - 0; Fungi - 0; Plants - 67; Viruses - 0; Other Eukaryotes - 114 (source: NCBI BLink).
NO03G00160	Ribosomal protein L19e family protein
NO03G00170	RHOMBOID-like protein 14
NO03G00180	NOD26-like intrinsic protein 4;2
NO03G00200	RAD3-like DNA-binding helicase protein
NO03G00280	Tetratricopeptide repeat (TPR)-like superfamily protein
NO03G00290	Ribosomal protein L36e family protein
NO03G00310	ribosomal protein L34
NO03G00330	THO2
NO03G00340	Ankyrin repeat family protein
NO03G00350	DNA-directed RNA polymerase family protein
NO03G00370	HSP20-like chaperones superfamily protein
NO03G00410	non-photochemical quenching 1
NO03G00430	Mov34/MPN/PAD-1 family protein
NO03G00440	proton gradient regulation 3
NO03G00540	histone acetyltransferase of the CBP family 12
NO03G00560	Transducin/WD40 repeat-like superfamily protein
NO03G00570	polypyrimidine tract-binding protein 3
NO03G00580	DEAD/DEAH box RNA helicase family protein 
NO03G00590	unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 15 growth stages; Has 143 Blast hits to 142 proteins in 34 species: Archae - 0; Bacteria - 0; Metazoa - 39; Fungi - 0; Plants - 56; Viruses - 0; Other Eukaryotes - 48 (source: NCBI BLink).
NO03G00640	presequence protease 1
NO03G00650	DNAJ heat shock N-terminal domain-containing protein
NO03G00670	Ribosomal protein S24/S35, mitochondrial
NO03G00710	CDK-activating kinase 4
NO03G00720	Protein kinase superfamily protein
NO03G00740	stomatal cytokinesis defective / SCD1 protein (SCD1)
NO03G00750	Bestrophin-like protein
NO03G00820	stomatal cytokinesis defective / SCD1 protein (SCD1)
NO03G00830	Bestrophin-like protein
NO03G00940	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
NO03G00960	Cyclopropane-fatty-acyl-phospholipid synthase
NO03G00970	Cyclopropane-fatty-acyl-phospholipid synthase
NO03G00980	GINS complex protein
NO03G01000	RNA recognition motif (RRM)-containing protein
NO03G01010	enoyl-CoA hydratase/isomerase A
NO03G01020	Glutaredoxin family protein
NO03G01030	phosphoenolpyruvate (pep)/phosphate translocator 2
NO03G01040	ATP-dependent caseinolytic (Clp) protease/crotonase family protein
NO03G01070	tRNAse Z4
NO03G01080	homolog of separase
NO03G01100	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
NO03G01140	stomatal cytokinesis defective / SCD1 protein (SCD1)
NO03G01150	Peptide chain release factor 1
NO03G01210	Protein kinase family protein with leucine-rich repeat domain
NO03G01220	Peroxisomal membrane 22 kDa (Mpv17/PMP22) family protein
NO03G01230	DnaJ / Sec63 Brl domains-containing protein
NO03G01250	proteasome beta subunit C1
NO03G01270	delta1-pyrroline-5-carboxylate synthase 1
NO03G01290	RNA polymerase II large subunit
NO03G01300	transcription regulator NOT2/NOT3/NOT5 family protein
NO03G01310	phosphate transporter 2
NO03G01330	Polynucleotide adenylyltransferase family protein
NO03G01340	FAD/NAD(P)-binding oxidoreductase family protein
NO03G01350	cytochrome P450, family 97, subfamily A, polypeptide 3
NO03G01360	Phosphoenolpyruvate carboxylase family protein
NO03G01370	methyltransferases;copper ion binding
NO03G01380	MITOCHONDRIAL  FERREDOXIN 2
NO03G01390	ubiquitin protein ligase 6
NO03G01410	SPFH/Band 7/PHB domain-containing membrane-associated protein family
NO03G01420	Plasma-membrane choline transporter family protein
NO03G01430	UNC-50 family protein
NO03G01440	diacylglycerol acyltransferase family
NO03G01450	Haloacid dehalogenase-like hydrolase (HAD) superfamily protein
NO03G01460	heat shock protein 90.1
NO03G01480	glutathione reductase
NO03G01490	tRNA/rRNA methyltransferase (SpoU) family protein
NO03G01510	spermidine synthase 1
NO03G01520	NPK1-related protein kinase 2
NO03G01530	MATE efflux family protein
NO03G01540	homolog of RAD54
NO03G01550	phragmoplast-associated kinesin-related protein, putative
NO03G01560	Metal-dependent phosphohydrolase
NO03G01570	phosphatidylinositolglycan synthase family protein
NO03G01580	Zinc finger, C3HC4 type (RING finger) family protein
NO03G01590	aminophospholipid ATPase 3
NO03G01600	Zinc finger, C3HC4 type (RING finger) family protein
NO03G01610	P-loop containing nucleoside triphosphate hydrolases superfamily protein
NO03G01620	photolyase 1
NO03G01630	Dihydrolipoamide acetyltransferase, long form protein
NO03G01640	unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0; Bacteria - 0; Metazoa - 736; Fungi - 347; Plants - 385; Viruses - 0; Other Eukaryotes - 339 (source: NCBI BLink).
NO03G01670	Ypt/Rab-GAP domain of gyp1p superfamily protein
NO03G01680	origin recognition complex second largest subunit 2
NO03G01710	early-responsive to dehydration stress protein (ERD4)
NO03G01720	Core-2/I-branching beta-1,6-N-acetylglucosaminyltransferase family protein
NO03G01740	Ribosomal protein S21e 
NO03G01750	Class II aaRS and biotin synthetases superfamily protein
NO03G01760	mitochondrial lipoamide dehydrogenase 1
NO03G01770	DNAse I-like superfamily protein
NO03G01790	vacuolar ATPase subunit F family protein
NO03G01800	NADH-ubiquinone oxidoreductase B18 subunit, putative
NO03G01820	DegP protease 9
NO03G01830	unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast, chloroplast stroma; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT2G23370.1); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink).
NO03G01850	NAD(P)-binding Rossmann-fold superfamily protein
NO03G01860	membrane-associated progesterone binding protein 2
NO03G01870	NAD(P)H dehydrogenase B3
NO03G01890	Ribosomal protein L35Ae family protein
NO03G01910	carotenoid cleavage dioxygenase 7
NO03G01920	Phosphoglycerate mutase family protein
NO03G01930	phytochelatin synthase 1 (PCS1)
NO03G01940	MIF4G domain-containing protein / MA3 domain-containing protein
NO03G01950	winged-helix DNA-binding transcription factor family protein
NO03G01960	Histone superfamily protein
NO03G01970	pescadillo-related
NO03G01980	pescadillo-related
NO03G01990	Histone superfamily protein
NO03G02000	histone H2A 13
NO03G02010	Ribonuclease E inhibitor RraA/Dimethylmenaquinone methyltransferase
NO03G02020	Haloacid dehalogenase-like hydrolase (HAD) superfamily protein
NO03G02050	Acyl-CoA N-acyltransferases (NAT) superfamily protein
NO03G02060	FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast; EXPRESSED IN: 20 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: 3-dehydroquinate synthase, prokaryotic-type (InterPro:IPR002812); Has 390 Blast hits to 390 proteins in 131 species: Archae - 144; Bacteria - 105; Metazoa - 0; Fungi - 0; Plants - 54; Viruses - 0; Other Eukaryotes - 87 (source: NCBI BLink).
NO03G02110	cardiolipin synthase
NO03G02120	O-acyltransferase (WSD1-like) family protein
NO03G02130	CBL-interacting protein kinase 16
NO03G02140	photosystem II stability/assembly factor, chloroplast (HCF136)
NO03G02150	ENHANCED DOWNY MILDEW 2
NO03G02160	RNI-like superfamily protein
NO03G02210	chromatin remodeling factor18
NO03G02230	RNase L inhibitor protein-related
NO03G02270	Ypt/Rab-GAP domain of gyp1p superfamily protein
NO03G02290	Serine carboxypeptidase S28 family protein
